単語	説明文
シグモイド関数	活性化関数の一種。定義式は $\sigma(x) = \frac{1}{1 + e^{-x}}$。出力を $(0, 1)$ の範囲に押し込めるため、二値分類の確率解釈に用いられる。微分値が自身の関数値で計算可能（ $\sigma'(x) = \sigma(x)(1 - \sigma(x))$ ）であり、計算効率が良い,,。
ReLU関数	正規化線形関数。 $f(x) = \max(0, x)$ で定義され、正の入力はそのまま、負の入力は0を出力する。計算が高速で、正の領域で勾配が1となるため、深いネットワークでの勾配消失問題を劇的に緩和する標準的な活性化関数,,。
ソフトマックス関数	多クラス分類の出力層で用いられる活性化関数。各出力の合計が1になるように変換し、各クラスへの所属確率として解釈可能にする。内部では各要素の指数関数（exp）の和で正規化を行う,,。
誤差逆伝播法	Backpropagation。出力された損失から逆向きに計算を行い、各層の重みが誤差にどれだけ貢献したか（勾配）を算出する手法。連鎖律を用いて効率的にパラメータを更新するための「計算エンジン」である,,。
連鎖律	Chain Rule。合成関数の微分は、それぞれの微分の積で表せるという数学的ルール。これを利用することで、出力層で発生した誤差を各層のパラメータ（重みやバイアス）の更新量へ精密に分配することが可能となる,,。
損失関数	モデルの予測と正解の間の「ズレ」を数値化（スカラー化）する多変数関数。この値を最小化するようにパラメータを動かすことが「学習」の目的である。代表例にMSEや交差エントロピーがある,,。
交差エントロピー誤差	分類問題で標準的に使われる損失関数。予測分布 $q$ と真の分布 $p$ の乖離を測定する。正解がOne-Hot表現の場合、実質的に正解クラスに対する予測確率の負の対数 $-\log q(x)$ を最小化することに相当する,,。
平均二乗誤差 (MSE)	回帰問題で一般的に利用される損失関数。推定値と実測値の差（残差）の二乗を平均した指標。誤差が正規分布に従うと仮定した場合の最尤推定は、このMSEの最小化と数学的に等価になる,,。
最急降下法	損失関数を最小化するために、勾配（微分値）の情報の逆方向にパラメータを更新する手法。全学習データを用いて正確な勾配を計算するものは「バッチ最急降下法」と呼ばれる,。
確率的勾配降下法 (SGD)	ランダムに選んだ1つのデータを用いてパラメータを更新する手法。計算が高速で、ランダム性により局所最適解から脱出しやすくなる利点がある。更新式は $w \leftarrow w - \eta \nabla L_i(w)$,,。
ミニバッチ勾配降下法	全データをランダムな小集団（ミニバッチ）に分割し、その平均勾配で更新を繰り返す手法。計算の安定性と効率性のバランスに優れ、現代の深層学習における実質的な標準となっている,,。
モメンタム (Momentum)	勾配降下に物理的な「慣性」を導入した手法。過去の更新方向（速度 $v$）を蓄積し、振動を抑えつつ加速する。更新式は $v_{t} = \alpha v_{t-1} - \eta \nabla L(\theta)$,,。
AdaGrad	パラメータごとに学習率を動的に調整する手法。過去の勾配の二乗和 $h$ を蓄積し、よく動くパラメータの学習率を小さく、動かないものを大きく制御する。更新式は $w \leftarrow w - \eta \frac{1}{\sqrt{h} + \epsilon} \frac{\partial L}{\partial w}$,,。
RMSprop	AdaGradの欠点（学習後半に更新が止まる）を、過去の勾配の「指数移動平均」を導入することで解決した手法。過去の履歴を減衰させながら新しい勾配を反映する,,。
Adam	Momentumの「速度」とRMSpropの「歩幅調整（2次モーメント）」を融合させた、現代で最も標準的な最適化アルゴリズム。過去の勾配の平均と分散の両方を利用して、効率的に収束させる,,。
ドロップアウト	学習中にランダムに一部のニューロンを無効化する手法。特定のニューロンへの過度な依存を防ぎ、ネットワーク全体で協調して判断するように促す強力な過学習抑制策である,。
バッチ正規化	各層のアクティベーションをミニバッチ単位で平均0、分散1に正規化する手法。内部共変量シフトを抑制し、学習を高速化・安定化させる。学習時と推論時で統計量の扱いが異なる,,。
重み初期化	ネットワークの学習開始時の重みの設定。ReLUには「Heの初期値」、シグモイドには「Xavierの初期値」など、次層へ信号の分散を適切に伝えるための定石がある,,。
畳み込み層	画像から局所的な特徴を抽出する層。「重み共有」によってパラメータ数を劇的に抑えつつ、エッジや模様などの空間的特徴を効率よく学習する,,。
プーリング層	特徴マップを縮小して情報を要約する層。微小な位置ズレに対する不変性を高める（移動不変性）。代表例としてMax Poolingがあり、最大値の位置情報（Indices）を保持する場合もある,,。
全結合層 (Affine層)	前の層の全ユニットと次の層の全ユニットが結合する層。抽出された特徴を統合し、最終的な分類や回帰の判断を下す「翻訳機」や「裁判官」のような役割を担う,,。
1x1畳み込み	空間解像度を維持したまま、チャンネル方向の次元削減（圧縮）や拡張を行う手法。GoogLeNetのInceptionモジュールなどで、計算コスト削減や非線形性の追加に利用される,,。
GAP (Global Average Pooling)	各チャンネルの特徴マップ全体の平均値をとるプーリング手法。全結合層の代わりに出力層の手前で用いることで、パラメータ数を削減し過学習を抑制する。CAMの生成にも不可欠,,。
RNN (再帰型ニューラルネットワーク)	隠れ状態を再帰的に伝播させることで、時系列などの順序を持つデータを扱う構造。時間方向に同じ重みを共有するが、長期記憶の保持（勾配消失問題）が苦手である,,。
LSTM (Long Short-Term Memory)	RNNの長期依存性問題を解決したモデル。入力・忘却・出力の3つのゲートと「セル状態（長期記憶）」を持ち、情報の保持・削除を動的に制御する,,。
GRU (Gated Recurrent Unit)	LSTMのゲート構造を簡略化したモデル。更新ゲートとリセットゲートの2つを持ち、セル状態を廃止して隠れ状態のみで伝播する。計算コストが低く、LSTMと同等の性能を示すことも多い,,。
自己注意機構 (Self-Attention)	文章内の全トークン間の関連性を同時に計算する仕組み。各単語がQuery、Key、Valueの役割を持ち、内積による「相関図」に基づいて情報を動的にブレンドする,,。
Query, Key, Value (Q, K, V)	Self-Attentionの構成要素。Qは「検索の問い」、Kは「検索対象の特徴（索引）」、Vは「情報の中身」を表す。これらを行列演算（内積）でマッチングさせることで文脈を抽出する,,。
マルチヘッド・アテンション	Attentionを複数の異なる空間（ヘッド）で並列に実行する仕組み。文法、意味、代名詞の指示関係など、多角的な視点から同時に文脈を捉えることができる,,。
位置エンコーディング	Transformerの並列処理で失われる「単語の順番（位置）」を教えるための情報。周期的な正弦波・余弦波（sin/cos）を用いたベクトルを単語の意味ベクトルに足し合わせる,,。
Transformer	RNNを使わずに「Attention機構」のみで文脈を把握するアーキテクチャ。全単語を一撃で並列処理できるため学習が高速で、現代のLLM（大規模言語モデル）の基盤となっている,,。
BERT	Transformerのエンコーダを用いた自然言語処理モデル。文章の一部を隠して予測させる「Masked Language Model」などの事前学習により、強力な双方向文脈表現を獲得した,,。
SSD (Single Shot MultiBox Detector)	物体検出モデルの一つ。1回のネットワーク実行で位置の特定とクラス分類を同時に行うシングルショット型であり、高速かつ高精度な検出を可能にする,。
mAP (mean Average Precision)	物体検出の代表的な評価指標。各クラスの平均適合率（AP）をさらに全クラスで平均した値。予測ボックスと正解の重なり（IoU）が一定基準を超えたものを正解として計算する,。
IoU (Intersection over Union)	2つの領域（予測枠と正解枠）の重なり度合いを示す指標。重なり部分の面積を、両者の和集合の面積で割った値。物体検出の正誤判定の基準として用いられる,。
適合率 (Precision)	モデルが「陽性」と予測したうち、実際に正解だった割合。物体検出では、誤検出（空振り）をどれだけ抑えられたかの指標となる,。
再現率 (Recall)	全ての本物の正解データのうち、モデルが正しく見つけ出せた割合。物体検出では、見落とし（False Negative）をどれだけ少なくできたかを示す,。
TP / FP / FN / TN	評価指標の構成要素。TP(真陽性)は正解、FP(偽陽性)は空振り、FN(偽陰性)は見落とし、TN(真陰性)は対象外を正しく除外したケースを指す,。
BLEU (Bilingual Evaluation Understudy)	機械翻訳の品質を自動評価する指標。翻訳文と参照翻訳文の間で、$n$-gramの一致度を計算し、幾何平均をとったもの。短文に対するペナルティ(BP)を含める,,。
n-gram	文中で連続する $n$ 個の単語の並び。1-gramは単語の的中率（妥当性）、3～4-gramはフレーズの流暢さを評価するために用いられる,,。
BP (Brevity Penalty)	BLEUスコアで用いられる短文ペナルティ。機械翻訳文が参照翻訳より短い場合にスコアを減衰させる。数式は $\exp(1 - r/c)$ （$c < r$ のとき）,,。
データ拡張 (Data Augmentation)	既存の訓練データを変形（反転、回転、色調変更等）させて疑似的にデータ数を増やす手法。モデルの過学習を抑制し、汎化性能を高める効果がある,,。
Mixup	2つの画像とラベルを線形補間（混ぜ合わせ）して新しいデータを合成する手法。クラス間の境界を滑らかに学習させることで、汎化性能が向上する,。
CutMix	画像の一部を矩形に切り抜き、もう一方の画像に貼り付ける手法。Mixupの不自然さを解消し、モデルが物体の局所的な特徴のみに依存するのを防ぐ,。
ResNet	スキップ接続（残差接続）を導入した深層ネットワーク。入力を後の層に直接足し合わせることで、勾配消失を回避し、100層を超える超深層化を実現した,,。
スキップ接続 (残差接続)	入力を加工せずに後の層へ「横流し」して足し合わせる経路。学習の対象を「入力との差分（残差）」へと変え、恒等写像の学習を容易にする,,。
Wide ResNet	層を深くする代わりに、各層のチャンネル数（幅）を拡大したResNetの派生形。層が比較的浅くても高い表現力を持ち、GPUの並列計算効率も良いため、高速かつ高精度になる,,。
自己情報量	ある事象 $x$ が発生したときの「驚き度」を示す尺度。確率 $P(x)$ に対して $I(x) = -\log P(x)$ で定義され、確率が低い（珍しい）ほど大きな値をとる,,。
エントロピー (平均情報量)	確率分布全体の不確実性を示す期待値。すべての事象の自己情報量をその発生確率で重み付け平均したもので、$H(X) = -\sum P(x) \log P(x)$ と定義される,,。
結合エントロピー	2つの確率変数 $X, Y$ を同時に観測したときのシステム全体の不確実性。$H(X, Y)$ と表記され、双方が独立であれば各エントロピーの和になる,,。
条件付きエントロピー	変数 $Y$ の値が既知であるときに、なお残る変数 $X$ の不確実性。$H(X|Y) = H(X, Y) - H(Y)$ という関係式（連鎖律）が成り立つ,,。
KLダイバージェンス	2つの確率分布 $P, Q$ の間の差異を測る指標。相対エントロピーとも呼ばれ、分布が一致すると0になる。非対称であり厳密な「距離」ではない,,。
JSダイバージェンス	KLダイバージェンスに対称性を持たせた指標。2つの分布の中間分布 $M$ を介して計算され、常に有限かつ一定範囲に収まる性質がある。GANの評価等に用いられる,,。
